text,label
駅はどこですか？！,location
またね,goodbye
これはいくらですか？,price
さようなら,goodbye
トイレはどこですか？,location
トイレはどこですか？,location
美味しいですね,food
安いですねね,price
感謝します？,thanks
またね,goodbye
どうも！,thanks
ごめんなさい,apology
美味しいです,food
申し訳ありませんね,apology
申し訳ありません,apology
すみません,apology
これはいくらですか？,price
駅はどこですか？,location
こんにちは,greeting
トイレはどこですか？,location
これはいくらですか？,price
いくらですか？！,price
こんにちは,greeting
申し訳ありません！,apology
どうも,thanks
やあ,greeting
どうも,thanks
ありがとう,thanks
バイバイ,goodbye
すみません,apology
もしもし,greeting
これはいくらですか？,price
駅はどこですか？！,location
ありがとう,thanks
どうもよ,thanks
まずいです,food
高いですね,price
やあ,greeting
トイレはどこですか？,location
すみません？,apology
やあ,greeting
この近くにレストランはありますか？,location
駅はどこですか？よ,location
安いですね,price
いくらですか？！,price
やあ,greeting
どうも！,thanks
安いですね,price
さようなら,goodbye
感謝しますね,thanks
トイレはどこですか？,location
この近くにレストランはありますか？,location
これはいくらですか？,price
ごめんなさい,apology
ごめんなさいよ,apology
トイレはどこですか？,location
感謝します,thanks
まずいです？,food
こんばんは,greeting
美味しいです,food
さようなら？,goodbye
おはようございます,greeting
いくらですか？！,price
どうも,thanks
まずいです？,food
こんにちは？,greeting
すみません,apology
こんばんは,greeting
ありがとう！,thanks
この近くにレストランはありますか？,location
おはようございます,greeting
感謝しますよ,thanks
美味しいです,food
おはようございます,greeting
この近くにレストランはありますか？,location
水をください,food
美味しいです,food
申し訳ありません,apology
ごめんなさい,apology
この近くにレストランはありますか？,location
いくらですか？,price
バイバイ,goodbye
この近くにレストランはありますか？,location
こんばんは？,greeting
こんばんは,greeting
こんばんは,greeting
感謝します,thanks
まずいです,food
感謝します,thanks
またねよ,goodbye
こんにちは,greeting
この近くにレストランはありますか？！,location
やあ,greeting
またね,goodbye
またね？,goodbye
おはようございます？,greeting
いくらですか？！,price
バイバイよ,goodbye
感謝します,thanks
感謝します,thanks
トイレはどこですか？よ,location
こんにちはよ,greeting
安いですね,price
すみません,apology
トイレはどこですか？,location
安いですね！,price
申し訳ありません,apology
じゃあね,goodbye
すみません,apology
おはようございます,greeting
どうも,thanks
ありがとうよ,thanks
ごめんなさい,apology
申し訳ありませんね,apology
もしもし,greeting
水をください,food
ありがとうよ,thanks
ありがとう,thanks
すみません,apology
ありがとう,thanks
駅はどこですか？,location
もしもし,greeting
いくらですか？,price
高いですね,price
この近くにレストランはありますか？,location
おはようございます,greeting
もしもし,greeting
じゃあね,goodbye
安いですね,price
バイバイ,goodbye
ごめんなさい,apology
すみません,apology
水をください！,food
やあ,greeting
またね,goodbye
さようなら？,goodbye
駅はどこですか？,location
バイバイよ,goodbye
コーヒーをください？,food
ありがとう,thanks
すみません,apology
感謝します,thanks
ありがとう,thanks
高いですね,price
どうも,thanks
駅はどこですか？,location
水をください,food
またね？,goodbye
安いですね！,price
美味しいです,food
感謝しますよ,thanks
おはようございます,greeting
この近くにレストランはありますか？,location
コーヒーをください,food
またね,goodbye
美味しいです,food
さようなら,goodbye
美味しいです,food
もしもし,greeting
水をくださいね,food
安いですね,price
どうも,thanks
美味しいです,food
おはようございます,greeting
感謝します,thanks
やあ,greeting
バイバイ,goodbye
美味しいです,food
コーヒーをください,food
またね,goodbye
またね,goodbye
どうも,thanks
この近くにレストランはありますか？,location
すみません,apology
駅はどこですか？,location
コーヒーをください,food
トイレはどこですか？,location
この近くにレストランはありますか？よ,location
美味しいです？,food
感謝します,thanks
安いですね,price
ありがとう,thanks
どうも,thanks
安いですね,price
すみません？,apology
おはようございます,greeting
駅はどこですか？,location
まずいです,food
バイバイ！,goodbye
やあ,greeting
いくらですか？,price
もしもし,greeting
駅はどこですか？,location
こんにちは,greeting
じゃあね,goodbye
駅はどこですか？,location
これはいくらですか？よ,price
どうも,thanks
この近くにレストランはありますか？？,location
じゃあね,goodbye
まずいです,food
じゃあね？,goodbye
水をください,food
コーヒーをくださいよ,food
バイバイ,goodbye
ありがとう,thanks
美味しいです,food
感謝します,thanks
申し訳ありません,apology
駅はどこですか？ね,location
おはようございます,greeting
こんにちは,greeting
こんばんは,greeting
すみません？,apology
トイレはどこですか？よ,location
どうも,thanks
高いですね,price
水をください！,food
この近くにレストランはありますか？？,location
トイレはどこですか？,location
おはようございます,greeting
ありがとう,thanks
申し訳ありません,apology
高いですね,price
トイレはどこですか？！,location
こんばんはね,greeting
これはいくらですか？,price
コーヒーをください,food
コーヒーをくださいよ,food
じゃあねね,goodbye
ごめんなさい？,apology
どうも？,thanks
ありがとう,thanks
さようなら,goodbye
いくらですか？,price
安いですね,price
まずいです,food
こんにちは！,greeting
いくらですか？,price
やあ,greeting
さようなら,goodbye
安いですね,price
すみません,apology
バイバイ,goodbye
コーヒーをください,food
ありがとう,thanks
さようなら,goodbye
